fecha;Harina_pescado;Azucar;Cafe;Cobre;Estano;Oro;Plata;Plomo;Zinc;Niquel;Petroleo;Trigo;Maiz;Aceite_soya;Fr_soya;Harina_soya
Abr-20;1550;574.6048233;3614.258326;229.1578343;678.7432518;1682.722727;15.07995455;75.37245447;86.26675354;534.5775558;16.83636364;206.6833708;117.1742608;569.6143594;302.6178582;328.2232138
May-20;1550;569.9159442;3441.562888;237.7250612;698.7231906;1716.611905;16.2887619;73.77057829;89.68845213;552.6472238;28.79714286;200.0957484;112.7244543;565.1812546;300.3535867;318.8514203
Jun-20;1562.5;572.7509361;3246.988239;261.0240591;763.7518225;1732.218182;17.71272727;79.14475541;91.88486616;577.2939163;38.30727273;190.900277;119.0174112;604.7380062;308.5135535;317.1650272
Jul-20;1575;586.266667;3339.63903;289.0499629;792.4225178;1843.313043;20.53373913;82.45974023;98.75593358;607.9182795;40.70434783;192.4571647;120.655162;653.2392682;316.1237133;319.2197703
Ago-20;1467.619048;604.8434654;3673.048263;295.2157341;801.0605411;1968.030952;27.00290476;87.82772983;109.4932886;661.1463891;42.33904762;192.2789615;118.1047833;714.8856288;320.6282412;318.1900336
Set-20;1450;592.011321;3739.27045;304.1291482;814.25523;1922.213636;25.7735;84.95385104;110.7880808;673.9243483;39.63681818;208.1531192;128.8748147;755.4039204;355.0778556;347.5437248
Oct-20;1452.727273;603.8160731;3398.556045;304.5333608;824.4761506;1900.275;24.23045455;80.57002511;110.7061249;691.2459069;39.39590909;232.9634745;148.9372896;752.6681841;371.1114746;396.4161999
Nov-20;1470;646.6578078;3381.775622;320.6402344;840.1655601;1863.492857;24.0452381;86.89123438;121.1819536;717.0267227;41.37952381;236.3845366;156.6763058;838.879904;412.8365823;429.2977646
Dic-20;1490;625.2980728;3583.834534;352.5369203;897.5667477;1859.647826;25.03947826;91.36405427;126.2424085;763.507996;47.07521739;243.5628731;167.395727;888.3139999;428.7671488;427.5050823
Ene-21;1480.952381;634.3014229;3583.834534;361.041167;991.3137048;1868.133333;25.90409524;91.30222578;122.8533334;807.4311812;51.84571429;269.2045437;196.8038119;976.8945296;499.4695028;487.3790725
